publisher	title	卷	潮州歌叙录	wikicommons_file	digital_transcription
潮安友芝堂	新造雙鸚鵡全歌	21~25	041	CADAL13030576_新造雙鸚鵡全歌（卷二十一至卷二十五）.djvu	
潮安友芝堂	新造雙鸚鵡全歌	31~35	041	CADAL13030577_新造雙鸚鵡全歌（卷三十一至卷三十五）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（初集）		042	CADAL13030606_古板新造木廷仙雙玉魚全歌（初集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（二集）		042	CADAL13030607_古板新造木廷仙雙玉魚全歌（二集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（三集）		042	CADAL13030608_古板新造木廷仙雙玉魚全歌（三集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（四集）		042	CADAL13030609_古板新造木廷仙雙玉魚全歌（四集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（五集）		042	CADAL13030610_古板新造木廷仙雙玉魚全歌（五集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（六集）		042	CADAL13030611_古板新造木廷仙雙玉魚全歌（六集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（七集）		042	CADAL13030612_古板新造木廷仙雙玉魚全歌（七集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（八集）		042	CADAL13030613_古板新造木廷仙雙玉魚全歌（八集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（九集）		042	CADAL13030614_古板新造木廷仙雙玉魚全歌（九集）.djvu	
潮州義安路李萬利	古板新造木廷仙雙玉魚全歌（十集）		042	CADAL13030615_古板新造木廷仙雙玉魚全歌（十集）.djvu	
	新造水蛙記		043		
	新造反唐		044		
	新造方提台大人歌		045		
	新造玉鴛鴦		046		
潮州義安路李萬利	古板新造玉鴛鴦珠衫記	1~3	047	CADAL13030596_古板新造玉鴛鴦珠衫記（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造玉鴛鴦珠衫記	4~6	047	CADAL13030597_古板新造玉鴛鴦珠衫記（卷四至卷六）.djvu	
潮州李春記書坊	新造玉如意下棚	1~3	048	CADAL13030954_新造玉如意下棚（卷一至卷三）.djvu	
潮州李春記書坊	新造玉如意下棚	4~6	048	CADAL13030955_新造玉如意下棚（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造玉沙（蟲夜）全歌	1~4	049	CADAL13030449_古板新造玉沙（蟲夜）全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造玉針記全歌	1~3	050	CADAL13030734_古板新造玉針記全歌（卷一至卷三）.djvu	https://web.archive.org/web/20080917162453/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-50.htm
潮州義安路李萬利	古板新造玉針記全歌	4~6	050	CADAL13030735_古板新造玉針記全歌（卷四至卷六）.djvu	https://web.archive.org/web/20080917162453/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-50.htm
潮州義安路李萬利	古板新造玉花瓶大紅袍全歌	1~2	051	CADAL13030703_古板新造玉花瓶大紅袍全歌（卷一至卷二）.djvu	
潮州義安路李萬利	古板新造玉環記全歌	1~3	052	CADAL13030506_古板新造玉環記全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造玉環記全歌	4~6	052	CADAL13030507_古板新造玉環記全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造玉釧緣全歌	1~4	053	CADAL13030431_古板新造玉釧緣全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造玉釧緣全歌	5~7	053	CADAL13030432_古板新造玉釧緣全歌（卷五至卷七）.djvu	
潮州義安路李萬利	古板新造玉釧緣全歌	8~10	053	CADAL13030433_古板新造玉釧緣全歌（卷八至卷十）.djvu	
	新造玉釧緣謝玉輝平金番		054		
潮州義安路李萬利	古板新撰玉釧環續再生緣	11~15	055	CADAL13030569_古板新撰玉釧環續再生緣（卷十一至卷十五）.djvu	
潮州義安路李萬利	古板新撰玉釧環續再生緣	16~20	055	CADAL13030570_古板新撰玉釧環續再生緣（卷十六至二十卷）.djvu	
潮州義安路李萬利	古板新撰玉釧環續再生緣	1~5	055	CADAL13030571_古板新撰玉釧環續再生緣（卷一至卷五）.djvu	
潮州義安路李萬利	古板新撰玉釧環續再生緣	6~10	055	CADAL13030572_古板新撰玉釧環續再生緣（卷六至卷十）.djvu	
	新撰玉釧環後續再生緣		056		
	新撰玉釧環三續再生緣		057		
潮州義安路李萬利	古板新造玉盒仙琴金寶扇	1~4	058	CADAL13030730_古板新造玉盒仙琴金寶扇（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造玉盒仙琴金寶扇	5~8	058	CADAL13030731_古板新造玉盒仙琴金寶扇（卷五至卷八）.djvu	
潮州義安路李萬利	古板新造玉樓春全歌	1~5	060	CADAL13030535_古板新造玉樓春全歌（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造玉樓春全歌	6~10	060	CADAL13030536_古板新造玉樓春全歌（卷六至卷十）.djvu	
潮州義安路李萬利	古板新造玉樓春全歌	11~14	060	CADAL13030537_古板新造玉樓春全歌（卷十一至卷十四）.djvu	
潮州義安路李萬利	古板新造白狗精全歌	1~2	061	CADAL13030323_古板新造白狗精全歌（卷一至卷二）.djvu	
	新造白扇記		062		
潮州義安路李萬利	古板新造白綾像全歌	1~2	063	CADAL13030400_古板新造白綾像全歌（卷一至卷二）.djvu	
潮州義安路李萬利	古板新造白綾像全歌	3~4	063	CADAL13030401_古板新造白綾像全歌（卷三至卷四）.djvu	
潮州義安路李萬利	古板新造龍井渡頭殘尾記	1~4	064	CADAL13030502_古板新造龍井渡頭殘尾記（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造龍圖公陰陽判全歌	1~3	065	CADAL13030956_古板新造龍圖公陰陽判全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造龍圖公陰陽判全歌	5~6	065	CADAL13030957_古板新造龍圖公陰陽判全歌（卷五至卷六）.djvu	
潮州義安路李萬利	古板新造四美圖	1~3	066	CADAL13030368_古板新造四美圖（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造四美圖	4~6	066	CADAL13030369_古板新造四美圖（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造四美圖	7~9	066	CADAL13030370_古板新造四美圖（卷七至卷九）.djvu	
潮州義安路李萬利	古板新造漢劉秀全歌	1~3	067	CADAL13030691_古板新造漢劉秀全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造漢劉秀全歌	4~6	067	CADAL13030692_古板新造漢劉秀全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造漢劉秀全歌	7~8	067	CADAL13030693_古板新造漢劉秀全歌（卷 七至卷八）.djvu	
潮州義安路李萬利	古板新造漢劉秀全歌	10~12	067	CADAL13030694_古板新造漢劉秀全歌（卷十至卷十二）.djvu	
潮州義安路李萬利	古板新造正德君遊江南全歌	1~3	068	CADAL13030297_古板新造正德君遊江南全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造正德君遊江南全歌	4~6	068	CADAL13030298_古板新造正德君遊江南全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造尼姑案全歌	1~3	069	CADAL13030695_古板新造尼姑案全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造尼姑案全歌	4~5	069	CADAL13030696_古板新造尼姑案全歌（卷四至卷五）.djvu	
	新造劉元普雙生貴子		070		
	新造劉龍圖騎竹馬全歌		071		
潮州義安路李萬利	古板新造劉成美忠節全歌	1~5	072	CADAL13030404_古板新造劉成美忠節全歌（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造劉成美忠節全歌	6~10	072	CADAL13030405_古板新造劉成美忠節全歌（卷六至卷十）.djvu	
潮州義安路李萬利	古板新造劉成美忠節全歌	11~15	072	CADAL13030406_古板新造劉成美忠節全歌（卷十一至卷十五）.djvu	
潮州義安路李萬利	古板新造劉成美忠節全歌	16~20	072	CADAL13030407_古板新造劉成美忠節全歌（卷十六至卷二十）.djvu	
潮州義安路李萬利	古板新造劉成美下截全歌	1~6	073	CADAL13030688_古板新造劉成美下截全歌（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造劉成美下截全歌	7~11	073	CADAL13030689_古板新造劉成美下截全歌（卷七至卷十一）.djvu	
潮州義安路李萬利	古板新造劉成美下截全歌	12~16	073	CADAL13030690_古板新造劉成美下截全歌（卷十二至卷十六）.djvu	
潮州義安路李萬利	古板新造劉明珠全歌	1~6	074	CADAL13030641_古板新造劉明珠全歌（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造劉明珠全歌	7~11	074	CADAL13030642_古板新造劉明珠全歌（卷七至卷十一）.djvu	
潮州義安路李萬利	古板新造劉明珠全歌	12~16	074	CADAL13030643_古板新造劉明珠全歌（卷十二至卷十六）.djvu	
潮州義安路李萬利	古板新造劉明珠全歌	17~21	074	CADAL13030644_古板新造劉明珠全歌（卷十七至卷二十一）.djvu	
潮州李春記書坊	新造西番碧邪枕全歌	1~3	075	CADAL13030475_新造西番碧邪枕全歌（卷一至卷三）.djvu	
潮州李春記書坊	新造西番碧邪枕全歌	4~5	075	CADAL13030476_新造西番碧邪枕全歌（卷四至卷五）.djvu	
	新造西番珊瑚枕		076		
潮州義安路李萬利	古板新造竹釵記全歌	1~4	077	CADAL13030540_古板新造竹釵記全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造竹釵記全歌	4~6	077	CADAL13030541_古板新造竹釵記全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造竹釵記全歌	7~8	077	CADAL13030542_古板新造竹釵記全歌（卷七至卷八）.djvu	
潮州義安路李萬利	古板新造竹釵記全歌	10~12	077	CADAL13030543_古板新造竹釵記全歌（卷十至卷十二）.djvu	
潮州義安路李萬利	古板新造行樂圖全歌	1~2	078	CADAL13030562_古板新造行樂圖全歌（卷一至卷二）.djvu	
潮州義安路李萬利	古板新造再合鴛鴦全歌	1~2	079	CADAL13030361_古板新造再合鴛鴦全歌（卷一至卷二）.djvu	
	新造粉妝樓		080		
	新造陰陽三寶扇		081		
潮州義安路李萬利	古板新造陰陽會鐵扇記	1~2	082	CADAL13030306_古板新造陰陽會鐵扇記（卷一至卷二）.djvu	
潮州義安路李萬利	古板新造陰陽會鐵扇記	3~4	082	CADAL13030307_古板新造陰陽會鐵扇記（卷三至卷四）.djvu	
潮州義安路李萬利	古板新造陰陽會鐵扇記	7~8	082	CADAL13030308_古板新造陰陽會鐵扇記（卷七至卷八）.djvu	
潮州義安路李萬利	古板新造靈芝記蝴蝶引全歌	1~4	083	CADAL13030398_古板新造靈芝記蝴蝶引全歌（卷一至卷四）.djvu	https://web.archive.org/web/20080917162458/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-83.htm
